,PostalCode,Borough,Neighbourhood
0,M3L,North York,Downsview West
1,M6J,West Toronto,"Little Portugal, Trinity"
2,M6H,West Toronto,Dovercourt Village
3,M8V,Etobicoke,New Toronto
4,M8W,Etobicoke,"Alderwood, Long Branch"
5,M3J,North York,"Northwood Park, York University"
6,M4H,East York,Thorncliffe Park
7,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
8,M4Y,Downtown Toronto,Church and Wellesley
9,M2R,North York,Willowdale West
10,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
11,M1R,Scarborough,"Maryvale, Wexford"
12,M3H,North York,"Bathurst Manor, Wilson Heights"
13,M5R,Central Toronto,"The Annex, Yorkville"
14,M4W,Downtown Toronto,Rosedale
15,M9L,North York,Humber Summit
16,M2H,North York,Hillcrest Village
17,M2M,North York,"Newtonbrook, Willowdale"
18,M1G,Scarborough,Woburn
19,M4C,East York,Woodbine Heights
20,M9N,York,Weston
21,M6P,West Toronto,High Park
22,M4T,Central Toronto,Moore Park
23,M4A,North York,Victoria Village
24,M9M,North York,"Emery, Humberlea"
25,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
26,M5E,Downtown Toronto,Berczy Park
27,M1J,Scarborough,Scarborough Village
28,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
29,M3C,North York,Flemingdon Park
30,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
31,M5P,Central Toronto,Forest Hill North
32,M9A,Etobicoke,Islington Avenue
33,M3K,North York,CFB Toronto
34,M6L,North York,Downsview
35,M6R,West Toronto,"Parkdale, Roncesvalles"
36,M1K,Scarborough,"Ionview, Kennedy Park"
37,M9R,Etobicoke,Kingsview Village
38,M6S,West Toronto,"Runnymede, Swansea"
39,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
40,M1X,Scarborough,Upper Rouge
41,M4L,East Toronto,India Bazaar
42,M4G,East York,Leaside
43,M1N,Scarborough,Birch Cliff
44,M5C,Downtown Toronto,St. James Town
45,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
46,M5S,Downtown Toronto,University of Toronto
47,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
48,M6K,West Toronto,"Exhibition Place, Parkdale Village"
49,M6A,North York,"Lawrence Heights, Lawrence Manor"
50,M3A,North York,Parkwoods
51,M4N,Central Toronto,Lawrence Park
52,M1S,Scarborough,Agincourt
53,M1E,Scarborough,"Morningside, West Hill"
54,M5A,Downtown Toronto,"Harbourfront, Regent Park"
55,M8X,Etobicoke,The Kingsway
56,M5L,Downtown Toronto,Commerce Court
57,M1B,Scarborough,"Rouge, Malvern"
58,M2K,North York,Bayview Village
59,M1V,Scarborough,"Agincourt North, Milliken"
60,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
61,M1T,Scarborough,Tam O'Shanter
62,M5J,Downtown Toronto,"Toronto Islands, Union Station"
63,M5M,North York,Bedford Park
64,M4K,East Toronto,Riverdale
65,M9C,Etobicoke,Markland Wood
66,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
67,M1M,Scarborough,"Cliffcrest, Cliffside"
68,M5X,Downtown Toronto,"First Canadian Place, Underground city"
69,M2L,North York,York Mills
70,M4B,East York,"Woodbine Gardens, Parkview Hill"
71,M8Z,Etobicoke,"Mimico NW, The Queensway West"
72,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
73,M4E,East Toronto,The Beaches
74,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
75,M2J,North York,Henry Farm
76,M4J,East York,East Toronto
